Strawberry Madness;Blend 1/4 cup Ice, 1/2 cup papaya juice, 1 cup Strawberries, and 2 TBSP Strawberry syrup.;Papaya Juice,Strawberry, Strawberry Syrup
Mango Bliss;Blend 5 Mango slices, 1/4 Orange juice, and 1 cup ice.;Mango,Orange Juice,ice
Peanut Butter Blast;Blend 1/4 cup Ice, 2 TBSP Creamy Peanut Butter, 1/2 Banana, 3 TBSP water, and 1/4 cup plain yogurt.;Peanut Butter,Banana,Water,Yogurt,Ice
Green Goddess;Blend 1/2 cup Ice, 1/2 cup Spinach, 1/2 Cup Kale, 4 Slices Green Apple, and 1/2 cup apple juice.;Spinach,Kale,Green Apple,Apple Juice
Island Fusion;Blend 1/2 cup Ice, 1/4 cup papaya juice, 3 slices Mango, 4 cubes Pineapple, 3 chunks Papaya, and 4 Strawberries.;Papaya Juice,Mango,Pineapple,Papaya,Strawberry
Tropical Melody;Blend 1/2 cup Ice, 1/4 cup orange juice, 2 slices mango, 3 TBSP Coconut, and 3 chunks Pineapple.;Orange Juice,Mango,Coconut,Pineapple
Coconut Wash;Blend 1/2 cup Ice, 1/4 cup Coconut milk, 1/4 cup Coconut pieces, 1/4 cup Acai, 2 TBSP Brown Sugar.;Coconut Milk,Coconut,Acai,Brown Sugar
Health Cleanse;Blend 1/2 cup Ice, 1/4 cup Almond milk, 1/4 cup Kale, 1/2 Banana, 1/4 Cucumber, and 1/4 cup Dragonfruit.;Almond Milk,Kale,Banana,Cucumber,Dragonfruit
Rehydrator;Blend 1/2 cup Ice, 1/4 cup Coconut water, 1/2 Cucumber, 1/3 Carrot, 2 TBSP Ginger, and 1/4 cup Honeydew Melon.;Coconut Water,Cucumber,Carrot,Ginger,Honeydew
Muscle Builder;Blend 1/2 Ice, 2 TBSP Peanut Butter, 1 Banana, 1 Tsp Cayenne Pepper, 1/2 cup Soy Milk, 1 cup Spinach, 1/4 cup Blueberries.;Peanut Butter,Banana,Cayenne Pepper,Soy Milk,Spinach,Blueberry
Blueberry-Banana;Blend 1/2 cup Ice, 1 cup blueberries, 1 banana, 1 tablespoon honey, and 1/2 cup almond milk.;Blueberry,Banana,Honey,Almond Milk
Spiced Winter Pumpkin;Blend 1/2 cup Ice, 1/4 cup Pumpkin, 1 tsp cinnamon, 3 TBSP Brown sugar, 1 cup soy milk, and 1/2 tsp pumpkin pie spice.;Pumpkin,Cinnamon,Brown Sugar,Soy Milk,Pumpkin Pie Spice
Summer Melon;Blend 1 cup Ice, 2 cups Watermelon, 1 sprig Mint, 1/4 cup Lime, and 1 Tsp Ginger.;Watermelon,Mint,Lime,Ginger
Pomegranate-Berry;Blend 1/2 cup Ice, 1 cup Blueberries, 2 Beets, 1 cup Pomegranates and 2 TBSP Honey.;Blueberry,Beet,Pomegranate,Honey
Kale Kingdom;Blend 1/2 cup Ice, 1 cup Kale, 1/2 cup Soy Milk, 1/2 Cucumber, and 1 TBSP lemon juice.;Kale,Soy Milk,Cucumber,Lemon Juice
Pina Colada;Blend 1/2 cup Ice, 1 cup Pineapple, 1/4 cup Orange Juice, 1/2 cup Coconut milk, and 2 TBSP Sugar.;Pineapple,Orange Juice,Coconut Milk,Sugar
Strawbery Colada;Blend 1/2 cup Ice, 1/2 cup Pineapple, 1/2 cup Strawberries, 1/4 cup Orange Juice, 1/2 cup Coconut milk, and 2 TBSP Sugar.;Pineapple,Strawberry,Orange Juice,Coconut Milk,Sugar
Raspberry-Orange Twist;Blend 1/2 cup Ice, 1 cup Raspberries, 1/2 cup Orange Juice, and 1/2 cup Plain Yogurt.;Raspberry,Orange Juice,Yogurt
Very Berry Blend;Blend 1/2 cup Ice, 4 TBSP Water, 1/4 cup Boisenberry, 1/4 cup Blueberry, 1/4 cup Raspberries, 1/4 Strawberries, and 1/2 cup Plain Yogurt.;Water,Boisenberry,Blueberry,Raspberry,Strawberry,Yogurt
Cucumber Melon Medley;Blend 1/2 cup Ice, 1/4 cup yogurt, 2 TBSP honey, 1 Cucumber, 1/2 cup HoneyDew, and 1/2 Cup Canteloupe.;Yogurt,Honey,Cucumber,Honeydew,Canteloupe
Strawberry-Kiwi Kiss;Blend 1/2 cup Ice, 3 TBSP of water, 1 cup Strawberries, and 1 Cup Kiwi.;Water,Strawberry,Kiwi
Antioxidant Awesomeness;Blend 1/2 cup Ice, 1/2 cup Plain Yogurt, 1/2 cup Pomegranate, 1/2 cup Goji Berries, 1/4 cup Strawberries, and 1/4 cup Raspberries.;Yogurt,Pomegranate,Goji Berry,Strawberry,Raspberry
Lemon Twist;Blend 1/2 cup Ice, 1/4 cup Lemon juice, 1/2 cup White Grapes, 1/2 Cup Papaya, 1/2 cup Strawberries and 2 TBSP Sugar.;Lemon Juice,White Grapes,Papaya,Strawberry,Sugar
Banana Blend;Blend 2 bananas, 1/2 cup each vanilla yogurt and milk, 2 teaspoons honey, a pinch of cinnamon and 1 cup ice.;Banana,Yogurt,Milk,Honey,Cinnamon
Strawberry-Banana;Blend 1 banana, 1 cup strawberries, 1/2 cup each vanilla yogurt and milk, 2 teaspoons honey, a pinch of cinnamon and 1 cup ice.;Banana,Strawberry,Yogurt,Milk,Honey,Cinnamon
Strawberry Shortcake;Blend 2 cups strawberries, 1 cup crumbled pound cake, 1 1/2 cups each milk and ice, and sugar to taste. Top with whipped cream and more strawberries.;Strawberry,Pound Cake,Milk,Sugar,Whipped Cream,Strawberry Shortcake
Triple-Berry Blend;1 1/2 cups mixed blackberries, strawberries and raspberries with 1 cup each milk and ice, and sugar to taste.;Blackberry,Strawberry,Raspberry,Milk,Sugar
Raspberry-Orange;Blend 1 cup each orange juice and raspberries, 1/2 cup plain yogurt, 1 cup ice, and sugar to taste.;Orange Juice,Raspberry,Yogurt,Sugar
Peach-Mango-Banana;Blend 1 cup each chopped fresh or frozen peaches and mango, 1 cup each plain yogurt and ice, 1/2 banana, and sugar to taste.;Peach,Mango,Yogurt,Banana,Sugar
Honeydew-Almond;Blend 2 cups chopped honeydew melon, 1 cup each almond milk and ice, and honey to taste.;Honeydew,Almond Milk,Honey
Cantaloupe;Blend 2 cups chopped cantaloupe, the juice of 1/2 lime, 3 tablespoons sugar, 1/2 cup water and 1 cup ice.;Canteloupe,Lime,Sugar,Water
Carrot-Apple;Blend 1 cup each carrot juice and apple juice with 1 1/2 cups ice, and 1 each carrot and apple.;Carrot Juice,Apple Juice,Carrot,Apple
Spa Cucumber;Peel, seed and chop 2 medium cucumbers. Blend with the juice of 1 lime, 1/2 cup water, 1 cup ice and 3 to 4 tablespoons sugar or honey.;Cucumber,Lime,Water,Sugar,Honey
Kiwi-Strawberry;Blend 1 cup strawberries, 2 peeled kiwis, 2 tablespoons sugar and 2 cups ice.;Strawberry,Kiwi,Sugar
Cherry-Vanilla;Blend 1 1/2 cups frozen pitted cherries, 1 1/4 cups milk, 3 tablespoons sugar, 1/2 teaspoon vanilla extract, 1/4 teaspoon almond extract, a pinch of salt and 1 cup ice.;Cherry,Milk,Sugar,Vanilla Extract,Almond Extract,Salt
Tangerine-Honey;Peel and seed 4 tangerines, then blend with the juice of 2 limes, 1/4 cup honey and 1 cup ice.;Tangerine,Lime,honey
Apricot-Almond;Blend 1 1/2 cups apricot nectar, 1/2 cup vanilla yogurt, 2 tablespoons almond butter and 1 cup ice.;Apricot Nectar,Yogurt,Almond Butter
Grape;Blend 2 cups seedless red grapes with 1 cup concord grape juice and 1 1/2 cups ice.;Seedless Red Grapes,Concord Grape Juice
Blueberry-Pear;Blend 1 1/2 cups frozen blueberries, 1 chopped pear, 1 1/2 cups each maple or plain yogurt and ice, and sugar to taste.;Blueberry,Pear,Yogurt,Sugar
Banana-Date-Lime;Blend 2 bananas, 3/4 cup chopped pitted dates, the juice of 1 lime and 1 1/2 cups each soy milk and ice.;Banana,Date,Lime,Soy Milk
Peach-Ginger;Blend 2 cups frozen sliced peaches, 1 1/2 cups buttermilk, 3 tablespoons brown sugar and 1 tablespoon grated fresh ginger.;Peach,Buttermilk,Brown Sugar,Ginger
Grapefruit;Peel and seed 2 grapefruits, then blend with 3 to 4 tablespoons sugar and 1 cup ice. Sprinkle with cinnamon;Grapefruit,Sugar
Pomegranate-Cherry;Blend 1 cup frozen pitted cherries, 3/4 cup pomegranate juice, 1/2 cup plain yogurt, 1 tablespoon honey, 1 teaspoon lemon juice, a pinch each of cinnamon and salt, and 2 cups ice.;Cherry,Pomegranate,Yogurt,Honey,Lemon Juice,Cinnamon,Salt
Chai;Blend 1 1/2 cups chai tea concentrate with 1 cup each milk and ice. Sprinkle with chai spice or ground cinnamon.;Chai Tea,Milk,Chai Spice,Cinnamon
Blueberry-Banana (variant);Blend 1 banana, 1 cup blueberries, 1/2 cup unsweetened coconut milk, 1 tablespoon each honey and lime juice, 1/4 teaspoon almond extract and 1 cup ice.;Banana,Blueberry,Coconut Milk,Honey,Lime Juice,Almond Extract
Creamy Pineapple;Blend 2 cups chopped pineapple, 1/2 cup cottage cheese, 1/4 cup milk, 2 teaspoons honey, 1/4 teaspoon vanilla, a pinch each of nutmeg and salt, and 2 cups ice.;Pineapple,Cottage Cheese,Milk,Honey,Vanilla,Nutmeg,Salt
Watermelon;Freeze 3 cups cubed seeded watermelon until hard. Blend with 1 cup cubed fresh seeded watermelon, the juice of 1 lime, 1/4 cup sugar and 1 cup water.;Watermelon,Lime Juice,Sugar,Water
Pineapple-Coconut;Freeze about 2 cups coconut water in 1 or 2 ice-cube trays. Blend 2 cups each chopped pineapple and coconut ice cubes, 1 1/2 tablespoons lime juice, 1 tablespoon honey and 1/2 cup coconut water.;Coconut Water,Pineapple,Lime Juice,Honey
Apple-Ginger;Blend 1 chopped peeled apple, a 1/2-inch piece peeled ginger, the juice of 2 limes, 1/4 cup honey, 1 cup water and 2 cups ice.;Apple,Ginger,Lime,Honey,Water
Black Raspberry–Vanilla;Blend 1 pint blackberries, 1/2 cup raspberries, 1 cup vanilla yogurt and 1 tablespoon honey.;Blackberry,Raspberry,Yogurt,Honey
Creamsicle;Blend 3/4 cup frozen orange or orange-tangerine concentrate with 1/2 cup cold water and 1 cup each vanilla ice cream and ice.;Orange,Tangerine,Water,Ice Cream
Mango-Acai;Blend two 4-ounce packages frozen acai berry puree, 1 cup chopped mango, 1/2 cup orange juice and 2 cups ice.;Acai,Mango,Orange Juice
Spiced Pumpkin;Blend 1/2 cup each pumpkin puree and silken tofu, 3 1/2 tablespoons brown sugar, 1 cup milk, 1/2 teaspoon pumpkin pie spice, a pinch of salt and 1 cup ice.;Pumpkin,Silken Tofu,Brown Sugar,Milk,Pumpkin Pie Spice,Salt
Mexican Coffee;Blend 1/2 cup chilled espresso or strong coffee, 1/2 cup milk or almond milk, 3 1/2 tablespoons brown sugar, 1/4 teaspoon ground cinnamon, 1/8 teaspoon almond extract and 1 1/2 cups ice.;Espresso,Coffee,Milk,Almond Milk,Brown Sugar,Cinnamon,Almond Extract
Vietnamese Coffee;Blend 1/2 cup chilled espresso or strong coffee, 1/4 cup sweetened condensed milk and 1 1/2 cups ice. Top with chocolate shavings and/or chocolate syrup.;Coffee,Espresso,Condensed Milk,Chocolate,Chocolate Syrup
Banana PB&J;Blend 1 frozen banana with 1 cup soy milk, 1/4 cup each creamy peanut butter and wheat germ, and 2 tablespoons seedless strawberry or raspberry jelly.;banana,Soy Milk,Peanut Butter,Wheat Germ,Strawberry Jelly,Raspberry Jelly
Peanut Butter–Apple;Blend 1 chopped peeled apple, 3 tablespoons creamy peanut butter, 2 tablespoons flaxseeds, 1 1/2 cups each soy milk and ice, and honey to taste.;Apple,Peanut Butter,Flaxseed,Soy Milk,Honey
Pomegranate-Berry (variant);Blend 1 cup blueberries, 3/4 cup each beet juice and pomegranate juice, 1 cup ice, and honey to taste.;Blueberry,Beet Juice, Pomegranate Juice,Honey
Cucumber-Kale;Blend 1 1/4 cups vegetable juice, 1/2 peeled cucumber, 3 kale leaves and the juice of 1/2 lemon.;Vegetable Juice,Cucumber,Kale,Lemon
Pineapple-Mango;Blend 1 cup each chopped pineapple and mango, 1 cup coconut water, a dash of ground allspice and 1 cup ice. Sprinkle with toasted coconut.;Pineapple,Mango,Coconut Water,Allspice,Toasted Coconut
Peanut Butter–Banana;Blend 1 banana, 1 cup vanilla yogurt, 1/2 cup creamy peanut butter, 1/3 cup milk, 2 tablespoons malted milk powder, 1/2 teaspoon cocoa powder, a pinch of salt and 2 cups ice.;Banana,Yogurt,Peanut Butter,Milk,Malted Milk Powder,Cocoa Powder,Salt
Green Tea–Almond;Brew 1 1/2 cups extra-strong green tea and cool completely. Blend with 1/3 cup almonds, 1/4 cup honey and 1 cup ice.;Green Tea,Almond,Honey
Chocolate-Banana;Blend 1 banana, 1 cup chocolate ice cream, 1/2 cup milk, a pinch of salt and 1/2 cup ice.;Banana,Chocolate Ice Cream,Milk,Salt
Chocolate-Raspberry;Blend 1 cup each chocolate ice cream and raspberries, 2 tablespoons sugar and 3/4 cup each milk and ice.;Chocolate Ice Cream,Raspberry,Sugar,Milk
Strawberry-Maple;Blend 2 cups strawberries, 1 1/2 cups milk, 1/4 cup each maple syrup and wheat germ, a dash of ground cinnamon and 1 1/2 cups ice.;Strawberry,Milk,Maple Syrup,Wheat Germ,Cinnamon
Chocolate Chip Cookie;Blend 1 cup each vanilla ice cream, milk and crumbled chocolate chip cookies with 1/4 cup mini chocolate chips. Top with a cookie.;Vanilla Ice Cream,Milk,Chocolate Chip Cookie,Chocolate Chips
Oatmeal Cookie;Blend 1 cup each vanilla ice cream, milk and crumbled oatmeal cookies with a pinch of ground cinnamon. Top with a cookie.;Vanilla Ice Cream,Milk,Oatmeal Cookie,Cinnamon
Birthday Cake;Blend 1 1/2 cups vanilla ice cream, 1 crumbled vanilla cupcake (unfrosted), 1 cup milk and 1/4 teaspoon almond extract. Top with sprinkles.;Vanilla Ice Cream,Vanilla Cupcake,Milk,Almond Extract
Black and White;Blend 3/4 cup each vanilla ice cream and chocolate ice cream with 1 cup milk and 3 crumbled chocolate sandwich cookies. Top with a cookie.;Vanilla Ice Cream,Chocolate Ice Cream,Milk,Chocolate Sandwich cookie
Lemon–Poppy Seed;Blend 2 teaspoons poppy seeds, the zest and juice of 1/2 lemon, 1 cup plain yogurt, 1/3 cup sugar and 1/2 cup each milk and ice.;Poppy Seed,Lemon,Yogurt,Sugar,Milk
Apple-Spinach;Blend 2 cups spinach, 1 chopped peeled apple, 1/2 cup silken tofu, 1/4 cup each soy milk and orange juice, 1 tablespoon each wheat germ, honey and lemon juice, and 1 cup ice.;Spinach,Apple,Silken Tofu,Soy Milk,Orange Juice,Wheat Germ,Honey,Lemon Juice
Veggie;Blend 1 1/4 cups tomato juice, 1/4 cup carrot juice, 1/2 peeled cucumber, 1/2 celery stalk, 1/4 cup each parsley and spinach, and 1/2 cup ice.;Tomato Juice,Carrot Juice,Cucumber,Celery,Parsley,Spinach
Mint-Jalapeno;Blend 1/3 cup fresh mint, 1 seeded jalapeno pepper, 2 1/2 tablespoons honey, a pinch of salt and 2 cups each plain yogurt and ice. Top with toasted cumin seeds and cilantro.;Mint,Jalapeno,Honey,Salt,YOgurt,Cumin, Cilantro
Acai-Peanut Protein;Blend 3.5oz packet frozen açai purée, 1 cup almond milk, 1 cup frozen strawberries, 1/3 cup vanilla whey protein powder, and 2 tablespoons peanut butter until smooth.;Acai,Almond Milk,Strawberry,Vanilla Whey Protein Powder,Peanut Butter
Blueberry, Lime, and Cashew;Purée 2 dates (pitted),  2 cups coconut water, 1 cup cashews, 1 cup blueberries, 1/3 cup plain yogurt, 1 Tbsp lime juice, a pinch of salt, and 2 cups ice in a blender until smooth.;Date,Coconut Water,Cashews,Blueberry,Yogurt,Lime Juice,Salt
Mango, Berry and Banana;Purée 1 banana, 2 dates (pitted), 1 cup mango chunks, 3/4 cup coconut water, 1/2 blackberries or blueberries, 1/4 cup plain yogurt, and 1 Tbsp flaxseeds in a blender until smooth.;Banana,Date,Mango,Coconut Water,Blackberry,Blueberry,Yogurt,Flaxseed
Green Peanut Butter;Blend 1 banana, 1 cup nut milk, 1 cup torn kale, 2 Tbsp. peanut butter, ¼ tsp. ground cinnamon, and ½ cup ice in a blender until smooth.;Banana,Nut Milk,Kale,Peanut Butter,Cinnamon
Banana Almond;Combine 1 banana, 1 cup almond milk, 1 Tbsp almond butter, and 1/8 teaspoon almond extract (optional), in a blender and puree until smooth.;Banana,Almond Milk,Almond Butter,Almond Extract
Tropic Carrot Ginger and Turmeric;Purée 1 blood orange (peeled), 1 carrot (chopped), 1/2 cup mango (chunks, frozen), 2/3 cup coconut water, 1 Tbsp hemp seeds, 3/4 tsp ginger, 1 1/2 Tsp turmeric, a pinch of cayenne,  a pinch of salt, and ½ cup ice in a blender until smooth.;Blood Orange,Carrot,Mango,Coconut Water,Hemp Seed,Ginger,Tumeric,Cayenne Pepper,Salt
Blueberry-Chia;Blend 1 banana (frozen, cut), 1/2 cup pineapple (chunks, frozen),1/4 cup blueberry-chia seed jam, 1 cup coconut water, and 1 Tbsp Flaxseed oil (optional) in a blender until smooth.;Banana,Pineapple,Blueberry-Chia Seed Jam,Coconut Water,Flaxseed Oil
The Green Machine;Purée 1/2 avocado (pitted, peeled), 1/2 cup kale, 1/2 cup pineapple (chunks, frozen), 1/4 cup coconut meat, 1 cup coconut water, 2 Tbsp lemon juice, 1 Tbsp matcha, 1 Tbsp agave nectar, a pinch of salt, and ½ cup ice until smooth.;Avocado,Kale,Pineapple,Coconut,Coconut Water,Lemon Juice,Matcha,Agave Nectar,Salt